ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID524428873,14 Woodmason St,3,h,1437000.0,16/04/2016,1.0,1.0,313.0,109.0,-37.8511,145.0317
ID455142191,85 Radford Rd,5,h,791000.0,18/06/2016,3.0,1.0,961.0,34.0,-37.7024,144.984
ID385314378,34 Fewster Dr,3,h,970000.0,26/08/2017,2.0,2.0,674.0,38.0,-37.8836,145.22805
ID205782381,41 Adelaide St,3,h,760000.0,23/09/2017,1.0,1.0,697.0,69.0,-37.780359999999995,144.8195
ID574190434,1/221 Westgarth St,3,t,865000.0,12/11/2016,1.0,2.0,184.0,13.0,-37.7825,145.0104
ID316830750,2/74 Daley St,3,t,555000.0,3/12/2016,2.0,2.0,244.0,59.0,-37.6969,144.9299
ID398183359,5/456 Albion St,1,u,312000.0,17/06/2017,1.0,1.0,406.0,49.0,-37.75847,144.94226
ID499123406,8 Tourello St,3,h,960000.0,24/06/2017,1.0,0.0,781.0,34.0,-37.8105,145.20106
ID608843710,25 Minogue St,6,h,1875000.0,23/09/2017,2.0,2.0,697.0,57.0,-37.79032,145.05408
ID309630222,7 Eaglet Ct,4,h,720000.0,3/06/2017,2.0,3.0,649.0,34.0,-37.676809999999996,145.06413999999995
ID475620673,50b Clyde St,3,h,1250000.0,24/09/2016,2.0,3.0,297.0,6.0,-37.7617,145.0117
ID957251945,3 Wortley Av,4,h,1640000.0,29/07/2017,2.0,2.0,811.0,59.0,-37.858579999999996,145.12053
ID778646121,29 Fuller St,3,h,950000.0,1/07/2017,1.0,2.0,608.0,44.0,-37.825829999999996,145.20608000000001
ID894859883,4/47 Middle Rd,2,u,420000.0,25/02/2017,1.0,1.0,0.0,49.0,-37.7678,144.8899
ID264461238,30 Moorhouse St,4,h,2990000.0,20/05/2017,2.0,2.0,742.0,22.0,-37.8284,145.0673
ID277180937,307/185 Rose St,1,u,456000.0,8/07/2017,1.0,1.0,0.0,8.0,-37.79636,144.98394
ID227991548,33 Mountain St,2,h,1150000.0,7/05/2016,1.0,0.0,113.0,163.0,-37.8373,144.9493
ID796986990,4/5 Selwyn Ct,3,u,922500.0,29/04/2017,1.0,2.0,4657.0,39.0,-37.8421,145.0237
ID525251239,25 Garnet St,5,h,1300000.0,16/07/2016,2.0,2.0,616.0,69.0,-37.7497,144.8867
ID963466840,53 Mater St,2,h,1080000.0,22/07/2017,1.0,0.0,0.0,129.0,-37.79589,144.98863
ID166583203,69 MacPherson St,2,h,757500.0,22/08/2016,1.0,0.0,258.0,119.0,-37.7959,144.8901
ID805600006,7 Dudley St,4,h,1615000.0,16/07/2016,2.0,3.0,758.0,29.0,-37.7668,145.03799999999995
ID381832588,101 Charles St,2,h,911000.0,22/07/2017,1.0,0.0,141.0,139.0,-37.805859999999996,144.99499
ID914128026,1/572 Moreland Rd,3,t,797500.0,11/02/2017,2.0,2.0,262.0,9.0,-37.7519,144.9324
ID535003853,310/53 Batman St,1,u,380000.0,15/07/2017,1.0,0.0,68.0,6.0,-37.810959999999994,144.95147
ID615260393,44 Milton Pde,3,h,780000.0,3/06/2017,1.0,1.0,546.0,129.0,-37.69388,145.06463
ID390687116,10 Shearers Ct,5,h,1360000.0,19/08/2017,3.0,2.0,882.0,49.0,-37.85995,145.18579
ID745673866,11/6 Byron St,1,u,313000.0,25/02/2017,1.0,1.0,0.0,59.0,-37.8766,144.991
ID730229838,6/24 Kensington Rd,2,t,1365000.0,8/10/2016,2.0,1.0,1302.0,129.0,-37.8377,145.0021
ID843424799,16 Conifer St,3,h,1520000.0,16/09/2017,1.0,3.0,627.0,5.0,-37.94515,145.01886000000005
ID395670497,93 Parkmore Rd,3,h,1206000.0,3/12/2016,1.0,2.0,603.0,59.0,-37.9155,145.0723
ID584559111,110 Bell St,3,h,710000.0,29/04/2017,1.0,1.0,160.0,119.0,-37.7411,144.9657
ID587458644,1/1478 Dandenong Rd,3,u,690000.0,15/10/2016,1.0,2.0,340.0,89.0,-37.8968,145.0983
