ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID524428873,14 Woodmason St,MALVERN,1437000.0,h,16/04/2016,3,1.0,1.0,313.0,109.0,-37.8511,145.0317,19945,1240.535012768199,19.214285714285715,0,610,1743,228
ID455142191,85 Radford Rd,RESERVOIR,791000.0,h,18/06/2016,5,3.0,1.0,961.0,34.0,-37.7024,144.984,19961,2223.9916930552517,39.0,0,824,1890,159
ID385314378,34 Fewster Dr,WANTIRNA SOUTH,970000.0,h,26/08/2017,3,2.0,2.0,674.0,38.0,-37.8836,145.22805,19869,5582.978901096799,48.18181818181818,0,98,190,19
ID205782381,41 Adelaide St,ALBION,760000.0,h,23/09/2017,3,1.0,1.0,697.0,69.0,-37.78036,144.8195,20004,548.1148938580144,26.375,1,298,735,154
ID574190434,1/221 Westgarth St,NORTHCOTE,865000.0,t,12/11/2016,3,1.0,2.0,184.0,13.0,-37.7825,145.0104,19929,413.93854928118077,19.923076923076923,0,136,302,42
ID316830750,2/74 Daley St,GLENROY,555000.0,t,3/12/2016,3,2.0,2.0,244.0,59.0,-37.6969,144.9299,20031,1254.5402390512104,38.0,0,1683,8938,509
ID398183359,5/456 Albion St,BRUNSWICK WEST,312000.0,u,17/06/2017,1,1.0,1.0,406.0,49.0,-37.75847,144.94226,19967,1652.3886211011131,27.333333333333332,1,941,5813,575
ID499123406,8 Tourello St,MITCHAM,960000.0,h,24/06/2017,3,1.0,0.0,781.0,34.0,-37.8105,145.20106,19900,1155.401134956712,34.666666666666664,0,1471,7759,779
ID608843710,25 Minogue St,KEW EAST,1875000.0,h,23/09/2017,6,2.0,2.0,697.0,57.0,-37.79032,145.05408,19932,2189.669965975698,26.0,0,288,712,75
ID309630222,7 Eaglet Ct,MILL PARK,720000.0,h,3/06/2017,4,2.0,3.0,649.0,34.0,-37.67681,145.06413999999995,45795,3079.6028195814542,49.22222222222222,0,1508,6073,553
ID475620673,50b Clyde St,THORNBURY,1250000.0,h,24/09/2016,3,2.0,3.0,297.0,6.0,-37.7617,145.0117,20015,1317.564084991986,23.3,0,2403,5212,586
ID957251945,3 Wortley Av,MOUNT WAVERLEY,1640000.0,h,29/07/2017,4,2.0,2.0,811.0,59.0,-37.85858,145.12053,19848,3468.7821169299073,30.666666666666668,0,1471,7759,779
ID778646121,29 Fuller St,MITCHAM,950000.0,h,1/07/2017,3,1.0,2.0,608.0,44.0,-37.82583,145.20608,19901,1017.5222097682062,36.41379310344828,0,1471,7759,779
ID894859883,4/47 Middle Rd,MARIBYRNONG,420000.0,u,25/02/2017,2,1.0,1.0,0.0,49.0,-37.7678,144.8899,20038,2588.6058654094586,22.0,0,717,1763,318
ID264461238,30 Moorhouse St,CAMBERWELL,2990000.0,h,20/05/2017,4,2.0,2.0,742.0,22.0,-37.8284,145.0673,19892,288.9599566625567,21.785714285714285,0,3767,18925,2042
ID277180937,307/185 Rose St,FITZROY,456000.0,u,8/07/2017,1,1.0,1.0,0.0,8.0,-37.79636,144.98394,19975,976.4688976194677,13.235294117647058,0,330,1855,82
ID227991548,33 Mountain St,SOUTH MELBOURNE,1150000.0,h,7/05/2016,2,1.0,0.0,113.0,163.0,-37.8373,144.9493,20043,2124.124142472824,0.0,0,1100,3636,457
