stop_id,stop_name,stop_lat,stop_lon,route
17204,Wallan Railway Station (Wallan),-37.4168610028693,145.00537225603702,1
19980,Melton Railway Station (Melton South),-37.7032933463858,144.57252414521798,1
19981,Rockbank Railway Station (Rockbank),-37.729261270913604,144.650631483984,1
19982,Deer Park Railway Station (Deer Park),-37.7777637471456,144.772303608804,1
19998,Sunbury Railway Station (Sunbury),-37.5792063872414,144.72816450831002,1
20020,Ardeer Railway Station (Ardeer),-37.7830652929363,144.802188066669,1
20029,Craigieburn Railway Station (Craigieburn),-37.6019247988331,144.943306014347,1
20043,Southern Cross Railway Station (Melbourne City),-37.818334291342204,144.952524867532,1
20288,Ararat Railway Station (Ararat),-37.2822048500311,142.936913700811,1
20289,Avenel Railway Station (Avenel),-36.893647783728,145.229514978959,1
20290,Bacchus Marsh Railway Station (Maddingley),-37.6875782110303,144.43678516048598,1
20292,Ballan Railway Station (Ballan),-37.6042995115262,144.225448027583,1
20293,Ballarat Railway Station (Ballarat Central),-37.5587914823897,143.859457427766,1
20294,Beaufort Railway Station (Beaufort),-37.427874970329796,143.38223365924,1
20295,Benalla Railway Station (Benalla),-36.5445503105021,145.98391505369,1
20296,Bendigo Railway Station (Bendigo),-36.7656697308233,144.283008928886,1
20297,Birregurra Railway Station (Birregurra),-38.3288078105881,143.78362521453698,1
20298,Broadford Railway Station (Broadford),-37.20720049092439,145.043007902139,1
20299,Bunyip Railway Station (Bunyip),-38.099107709581396,145.7207574905,1
20301,Castlemaine Railway Station (Castlemaine),-37.0628374463184,144.213799025491,1
20302,Chiltern Railway Station (Chiltern),-36.155636632564295,146.611374754964,1
20303,Clarkefield Railway Station (Clarkefield),-37.4834976919689,144.745372643394,1
20304,Colac Railway Station (Colac),-38.343377918435394,143.58665305125498,1
20305,Corio Railway Station (Corio),-38.0728312611647,144.37976841879,1
20306,Dingee Railway Station (Dingee),-36.3692329083013,144.231120340329,1
20307,Donnybrook Railway Station (Donnybrook),-37.5425895208628,144.969860118554,1
20308,Drouin Railway Station (Drouin),-38.1364519002868,145.85594693234,1
20309,Eaglehawk Railway Station (Eaglehawk),-36.7185253927456,144.248379897507,1
20310,Echuca Railway Station (Echuca),-36.1309822315464,144.753458663242,1
20311,Elmore Railway Station (Elmore),-36.495020020994396,144.60775752460398,1
20312,Euroa Railway Station (Euroa),-36.7491459324241,145.56786431317,1
20313,Garfield Railway Station (Garfield),-38.091030619766606,145.674224718789,1
20314,Geelong Railway Station (Geelong),-38.1442421089254,144.35498911182,1
20315,Gisborne Railway Station (New Gisborne),-37.458825496916496,144.598721566871,1
20316,Heathcote Junction Railway Station (Heathcote Junction),-37.3677343958931,145.026310472064,1
20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.7948336350696,144.248990162653,1
20318,Kerang Railway Station (Kerang),-35.7331216182582,143.924425092295,1
20319,Kilmore East Railway Station (Kilmore East),-37.293210274032205,144.983565994661,1
20320,Kyneton Railway Station (Kyneton),-37.25827885099321,144.450601588246,1
20321,Lara Railway Station (Lara),-38.0224276368235,144.414404294664,1
20323,Little River Railway Station (Little River),-37.9629290891698,144.498484867674,1
20324,Longwarry Railway Station (Longwarry),-38.1109921063784,145.76686028529198,1
20325,Macedon Railway Station (Macedon),-37.423573310954396,144.561396853042,1
20326,Malmsbury Railway Station (Malmsbury),-37.189740321982704,144.375323170241,1
20327,Marshall Railway Station (Marshall),-38.1985490047076,144.35505671194,1
20328,Moe Railway Station (Moe),-38.1767146401405,146.262697151591,1
20330,Morwell Railway Station (Morwell),-38.2367187615524,146.396753046002,1
20332,Nagambie Railway Station (Nagambie),-36.7854641001148,145.16035665834602,1
20333,Nar Nar Goon Railway Station (Nar Nar Goon),-38.0815915533358,145.571665727089,1
20334,North Geelong Railway Station (North Geelong),-38.122835234432394,144.352271898836,1
20335,North Shore Railway Station (North Shore),-38.098377135281794,144.365321419105,1
20336,Pyramid Railway Station (Pyramid Hill),-36.05311274382421,144.113132712444,1
20337,Riddells Creek Railway Station (Riddells Creek),-37.465123788178396,144.679830706708,1
20338,Rochester Railway Station (Rochester),-36.3623604978853,144.698681339839,1
20339,Rosedale Railway Station (Rosedale),-38.1564036678035,146.786966372164,1
20342,Seymour Railway Station (Seymour),-37.0247287252427,145.137728616954,1
20344,South Geelong Railway Station (South Geelong),-38.1586586335856,144.358987047614,1
20345,Springhurst Railway Station (Springhurst),-36.1858934040116,146.470416950047,1
20348,Tallarook Railway Station (Tallarook),-37.0923345407483,145.102997284521,1
20350,Trafalgar Railway Station (Trafalgar),-38.207242297018,146.154772842954,1
20351,Traralgon Railway Station (Traralgon),-38.1988849376845,146.537882118369,1
20352,Tynong Railway Station (Tynong),-38.0849962573238,145.628234301935,1
20353,Violet Town Railway Station (Violet Town),-36.6388160601929,145.715923448032,1
20355,Wandong Railway Station (Wandong),-37.3546770982659,145.026415443751,1
20356,Wangaratta Railway Station (Wangaratta),-36.355100892511395,146.317038461126,1
20357,Warragul Railway Station (Warragul),-38.165224176233295,145.933085250289,1
20358,Warrnambool Railway Station (Warrnambool),-38.3850139575809,142.475545037262,1
20359,Winchelsea Railway Station (Winchelsea),-38.2401350634189,143.984133891247,1
20361,Woodend Railway Station (Woodend),-37.3587985943757,144.525890123295,1
20362,Yarragon Railway Station (Yarragon),-38.203157535116404,146.06306279532402,1
22238,Flinders Street Railway Station (Melbourne City),-37.8183051340585,144.966964346166,1
22239,North Melbourne Railway Station (West Melbourne),-37.80630983534729,144.94151017321002,1
22240,Footscray Railway Station (Footscray),-37.8014134330439,144.90202005766702,1
22241,Sunshine Railway Station (Sunshine),-37.788536331924604,144.832878204953,1
22244,Watergardens Railway Station (Sydenham),-37.7011287184526,144.77418045437,1
22247,Richmond Railway Station (Richmond),-37.82407445542479,144.990164256273,1
22248,Caulfield Railway Station (Caulfield East),-37.8774594614914,145.042524781036,1
22249,Clayton Railway Station (Clayton),-37.9246825520153,145.12053436025698,1
22250,Dandenong Railway Station (Dandenong),-37.9899679153812,145.209725368166,1
22251,Berwick Railway Station (Berwick),-38.0404081301667,145.345714694143,1
22252,Pakenham Railway Station (Pakenham),-38.0806138269723,145.486367676332,1
22253,Essendon Railway Station (Essendon),-37.75601169508471,144.916197501013,1
22254,Broadmeadows Railway Station (Broadmeadows),-37.6830492642064,144.919613216031,1
43469,Wendouree Railway Station (Wendouree),-37.539716108499,143.82006752502198,1
47641,Waurn Ponds Railway Station (Waurn Ponds),-38.2158144726992,144.30681939977,1
47642,Epsom Railway Station (Epsom),-36.706341584195,144.321039539468,1
47647,Wyndham Vale Railway Station (Wyndham Vale),-37.8717818287661,144.60847208056998,1
47648,Tarneit Railway Station (Tarneit),-37.8321681307146,144.694714384216,1
52011,Caroline Springs Railway Station (Ravenhall),-37.7671526360564,144.73802162301,1
15351,Sunbury Railway Station (Sunbury),-37.579090970578704,144.727318781329,2
15353,Diggers Rest Railway Station (Diggers Rest),-37.627016514935704,144.719922441113,2
19841,Flagstaff Railway Station (Melbourne City),-37.811981307380705,144.955653760429,2
19842,Melbourne Central Railway Station (Melbourne City),-37.809938766738604,144.962593535096,2
19843,Parliament Railway Station (Melbourne City),-37.8110540555305,144.972910916416,2
19844,Belgrave Railway Station (Belgrave),-37.909102097471205,145.35529128285802,2
19845,Tecoma Railway Station (Tecoma),-37.9081184864021,145.34299457766198,2
19846,Upwey Railway Station (Upwey),-37.9036909717454,145.331333355214,2
19847,Alamein Railway Station (Ashburton),-37.8683203919866,145.079655668512,2
19848,Ashburton Railway Station (Ashburton),-37.8619675331692,145.081343759057,2
19849,Burwood Railway Station (Glen Iris),-37.8515632823172,145.080511068965,2
19850,Hartwell Railway Station (Camberwell),-37.8439845657174,145.075559591232,2
19851,Willison Railway Station (Camberwell),-37.835715650535896,145.070297555357,2
19852,Riversdale Railway Station (Camberwell),-37.8315054341723,145.069645982205,2
19853,Camberwell Railway Station (Camberwell),-37.8265671441669,145.058697177155,2
19854,Flinders Street Railway Station (Melbourne City),-37.8183051340585,144.966964346166,2
19855,Frankston Railway Station (Frankston),-38.1429900671654,145.126162282251,2
19856,Kananook Railway Station (Seaford),-38.121742033539,145.13529534058,2
19857,Seaford Railway Station (Seaford),-38.104021039668005,145.128230402217,2
19858,Carrum Railway Station (Carrum),-38.0748929182559,145.122418267271,2
19859,Bonbeach Railway Station (Bonbeach),-38.0629447836562,145.119680438871,2
19860,Chelsea Railway Station (Chelsea),-38.051955383788204,145.11604132674802,2
19861,Edithvale Railway Station (Edithvale),-38.0380560155673,145.108535545056,2
19862,Aspendale Railway Station (Aspendale),-38.0272201944523,145.102149616841,2
19863,Mordialloc Railway Station (Mordialloc),-38.006582950761796,145.08765935746,2
19864,Parkdale Railway Station (Parkdale),-37.9930788207759,145.076326823728,2
19865,Mentone Railway Station (Mentone),-37.9818654019494,145.065165898742,2
19866,Cheltenham Railway Station (Cheltenham),-37.966649894434205,145.05455793302602,2
19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.8926717009388,145.307530188155,2
19868,Ferntree Gully Railway Station (Ferntree Gully),-37.8816979923577,145.295251256598,2
19869,Boronia Railway Station (Boronia),-37.8604517998444,145.28438514597,2
19870,Bayswater Railway Station (Bayswater),-37.8417300410993,145.268136389217,2
19871,Heathmont Railway Station (Heathmont),-37.828322272538294,145.244555375848,2
19872,Highett Railway Station (Highett),-37.9484250041841,145.041871797791,2
19876,Lilydale Railway Station (Lilydale),-37.7555177718931,145.347710240852,2
19877,Mooroolbark Railway Station (Mooroolbark),-37.7847488250808,145.312402399118,2
19878,Croydon Railway Station (Croydon),-37.7954369700624,145.280597770769,2
19879,Ringwood East Railway Station (Ringwood East),-37.811968042776,145.250190905264,2
19880,Pakenham Railway Station (Pakenham),-38.0806139738066,145.486379074704,2
19881,Officer Railway Station (Officer),-38.066145716864796,145.41098723091002,2
19882,Beaconsfield Railway Station (Beaconsfield),-38.050831351782605,145.366073739227,2
19883,Berwick Railway Station (Berwick),-38.04040829049929,145.34572608550502,2
19884,Narre Warren Railway Station (Narre Warren),-38.0278093151679,145.303969385674,2
19885,Hallam Railway Station (Hallam),-38.0177403817805,145.269776796453,2
19886,Cranbourne Railway Station (Cranbourne),-38.0995373065849,145.280598975647,2
19887,Merinda Park Railway Station (Cranbourne North),-38.0790004761497,145.263511372935,2
19888,Dandenong Railway Station (Dandenong),-37.9899679153812,145.209725368166,2
19889,Yarraman Railway Station (Noble Park),-37.978254535925295,145.191600276299,2
19890,Noble Park Railway Station (Noble Park),-37.9672319330584,145.176935735141,2
19891,Sandown Park Railway Station (Springvale),-37.956504569855596,145.162825890396,2
19892,East Camberwell Railway Station (Camberwell),-37.825894190533106,145.06819024741,2
19893,Canterbury Railway Station (Canterbury),-37.8244851789179,145.081224242904,2
19894,Chatham Railway Station (Surrey Hills),-37.8242995185069,145.088647930425,2
19895,Surrey Hills Railway Station (Surrey Hills),-37.82414805490921,145.098774680388,2
19896,Mont Albert Railway Station (Mont Albert),-37.819426545880795,145.105530369113,2
19897,Laburnum Railway Station (Blackburn),-37.8207802338117,145.140702708531,2
19898,Blackburn Railway Station (Blackburn),-37.8200707463673,145.150013542281,2
19899,Nunawading Railway Station (Nunawading),-37.8206031722516,145.174891721882,2
19900,Mitcham Railway Station (Mitcham),-37.8180098744252,145.191973500271,2
19901,Heatherdale Railway Station (Ringwood),-37.8188348484368,145.213549822481,2
19902,Ringwood Railway Station (Ringwood),-37.8158864821449,145.228968460052,2
19903,Auburn Railway Station (Hawthorn East),-37.8223983064618,145.04584365713,2
19904,Glenferrie Railway Station (Hawthorn),-37.8214668222115,145.036438832309,2
19905,Hawthorn Railway Station (Hawthorn),-37.82182600897129,145.022898658759,2
19906,Burnley Railway Station (Burnley),-37.8275602161665,145.007555147088,2
19908,Richmond Railway Station (Richmond),-37.82407445542479,144.990164256273,2
19913,Springvale Railway Station (Springvale),-37.949508781663,145.153451830727,2
19914,Westall Railway Station (Clayton South),-37.938491213899,145.13883262698,2
19915,Clayton Railway Station (Clayton),-37.9246825520153,145.12053436025698,2
