trip_id,arrival_time,departure_time,stop_id,stop_sequence,route
1051.T0.1-V08-G-mjp-1.1.H,06:08:00,06:08:00,20291,1,1
1051.T0.1-V08-G-mjp-1.1.H,06:42:00,06:42:00,20346,2,1
1051.T0.1-V08-G-mjp-1.1.H,06:55:00,06:57:00,20341,3,1
1051.T0.1-V08-G-mjp-1.1.H,07:16:00,07:16:00,20339,4,1
1051.T0.1-V08-G-mjp-1.1.H,07:32:00,07:34:00,20351,5,1
1051.T0.1-V08-G-mjp-1.1.H,07:45:00,07:45:00,20330,6,1
1051.T0.1-V08-G-mjp-1.1.H,07:57:00,07:57:00,20328,7,1
1051.T0.1-V08-G-mjp-1.1.H,08:16:00,08:16:00,20357,10,1
1051.T0.1-V08-G-mjp-1.1.H,08:23:00,08:23:00,20308,11,1
1051.T0.1-V08-G-mjp-1.1.H,08:36:00,08:36:00,20313,14,1
1051.T0.1-V08-G-mjp-1.1.H,08:51:00,08:51:00,22252,17,1
1051.T0.1-V08-G-mjp-1.1.H,09:09:00,09:09:00,22250,18,1
1051.T0.1-V08-G-mjp-1.1.H,09:36:00,09:36:00,22248,20,1
1051.T0.1-V08-G-mjp-1.1.H,09:44:00,09:44:00,22247,21,1
1051.T0.1-V08-G-mjp-1.1.H,09:48:00,09:50:00,22238,22,1
1051.T0.1-V08-G-mjp-1.1.H,09:57:00,09:57:00,20043,23,1
1052.T0.1-V08-G-mjp-1.2.H,12:45:00,12:45:00,20291,1,1
1052.T0.1-V08-G-mjp-1.2.H,13:19:00,13:19:00,20346,2,1
1052.T0.1-V08-G-mjp-1.2.H,13:33:00,13:35:00,20341,3,1
1052.T0.1-V08-G-mjp-1.2.H,13:54:00,13:54:00,20339,4,1
1052.T0.1-V08-G-mjp-1.2.H,14:10:00,14:14:00,20351,5,1
1052.T0.1-V08-G-mjp-1.2.H,14:23:00,14:23:00,20330,6,1
1052.T0.1-V08-G-mjp-1.2.H,14:32:00,14:32:00,20328,7,1
1052.T0.1-V08-G-mjp-1.2.H,14:55:00,14:55:00,20357,10,1
1052.T0.1-V08-G-mjp-1.2.H,15:01:00,15:01:00,20308,11,1
1052.T0.1-V08-G-mjp-1.2.H,15:14:00,15:14:00,20313,14,1
1052.T0.1-V08-G-mjp-1.2.H,15:33:00,15:33:00,22252,17,1
1052.T0.1-V08-G-mjp-1.2.H,15:49:00,15:49:00,22250,18,1
1052.T0.1-V08-G-mjp-1.2.H,16:16:00,16:16:00,22248,20,1
1052.T0.1-V08-G-mjp-1.2.H,16:29:00,16:31:00,22238,22,1
1052.T0.1-V08-G-mjp-1.2.H,16:35:00,16:35:00,20043,23,1
1053.T0.1-V08-G-mjp-1.2.H,18:18:00,18:18:00,20291,1,1
1053.T0.1-V08-G-mjp-1.2.H,18:52:00,18:52:00,20346,2,1
1053.T0.1-V08-G-mjp-1.2.H,19:06:00,19:08:00,20341,3,1
1053.T0.1-V08-G-mjp-1.2.H,19:27:00,19:27:00,20339,4,1
1053.T0.1-V08-G-mjp-1.2.H,19:43:00,19:45:00,20351,5,1
1053.T0.1-V08-G-mjp-1.2.H,19:54:00,19:54:00,20330,6,1
1053.T0.1-V08-G-mjp-1.2.H,20:04:00,20:04:00,20328,7,1
1053.T0.1-V08-G-mjp-1.2.H,20:22:00,20:22:00,20357,10,1
1053.T0.1-V08-G-mjp-1.2.H,20:29:00,20:29:00,20308,11,1
1053.T0.1-V08-G-mjp-1.2.H,20:40:00,20:40:00,20313,14,1
1053.T0.1-V08-G-mjp-1.2.H,20:57:00,20:57:00,22252,17,1
1053.T0.1-V08-G-mjp-1.2.H,21:21:00,21:21:00,22250,18,1
1053.T0.1-V08-G-mjp-1.2.H,21:48:00,21:48:00,22248,20,1
1053.T0.1-V08-G-mjp-1.2.H,22:00:00,22:02:00,22238,22,1
1053.T0.1-V08-G-mjp-1.2.H,22:08:00,22:08:00,20043,23,1
1522.T0.1-V08-G-mjp-1.4.R,07:20:00,07:20:00,20043,1,1
1523.T0.1-V08-G-mjp-1.5.R,13:20:00,13:20:00,20043,1,1
1524.T0.1-V08-G-mjp-1.6.R,18:34:00,18:34:00,20043,1,1
4394.T0.1-V08-J-mjp-1.1.H,06:08:00,06:08:00,20291,1,1
4394.T0.1-V08-J-mjp-1.1.H,06:42:00,06:42:00,20346,2,1
4394.T0.1-V08-J-mjp-1.1.H,06:55:00,06:57:00,20341,3,1
4394.T0.1-V08-J-mjp-1.1.H,07:16:00,07:16:00,20339,4,1
4394.T0.1-V08-J-mjp-1.1.H,07:32:00,07:34:00,20351,5,1
4394.T0.1-V08-J-mjp-1.1.H,07:45:00,07:45:00,20330,6,1
4394.T0.1-V08-J-mjp-1.1.H,07:57:00,07:57:00,20328,7,1
4394.T0.1-V08-J-mjp-1.1.H,08:16:00,08:16:00,20357,10,1
4394.T0.1-V08-J-mjp-1.1.H,08:23:00,08:23:00,20308,11,1
4394.T0.1-V08-J-mjp-1.1.H,08:36:00,08:36:00,20313,14,1
4394.T0.1-V08-J-mjp-1.1.H,08:51:00,08:51:00,22252,17,1
4394.T0.1-V08-J-mjp-1.1.H,09:09:00,09:09:00,22250,18,1
4394.T0.1-V08-J-mjp-1.1.H,09:36:00,09:36:00,22248,20,1
4394.T0.1-V08-J-mjp-1.1.H,09:44:00,09:44:00,22247,21,1
4394.T0.1-V08-J-mjp-1.1.H,09:48:00,09:50:00,22238,22,1
4394.T0.1-V08-J-mjp-1.1.H,09:57:00,09:57:00,20043,23,1
4395.T0.1-V08-J-mjp-1.2.H,12:45:00,12:45:00,20291,1,1
4395.T0.1-V08-J-mjp-1.2.H,13:19:00,13:19:00,20346,2,1
4395.T0.1-V08-J-mjp-1.2.H,13:33:00,13:35:00,20341,3,1
4395.T0.1-V08-J-mjp-1.2.H,13:54:00,13:54:00,20339,4,1
4395.T0.1-V08-J-mjp-1.2.H,14:10:00,14:14:00,20351,5,1
4395.T0.1-V08-J-mjp-1.2.H,14:23:00,14:23:00,20330,6,1
4395.T0.1-V08-J-mjp-1.2.H,14:32:00,14:32:00,20328,7,1
4395.T0.1-V08-J-mjp-1.2.H,14:55:00,14:55:00,20357,10,1
4395.T0.1-V08-J-mjp-1.2.H,15:01:00,15:01:00,20308,11,1
4395.T0.1-V08-J-mjp-1.2.H,15:14:00,15:14:00,20313,14,1
4395.T0.1-V08-J-mjp-1.2.H,15:33:00,15:33:00,22252,17,1
4395.T0.1-V08-J-mjp-1.2.H,15:49:00,15:49:00,22250,18,1
4395.T0.1-V08-J-mjp-1.2.H,16:16:00,16:16:00,22248,20,1
4395.T0.1-V08-J-mjp-1.2.H,16:29:00,16:31:00,22238,22,1
4395.T0.1-V08-J-mjp-1.2.H,16:35:00,16:35:00,20043,23,1
4396.T0.1-V08-J-mjp-1.2.H,18:18:00,18:18:00,20291,1,1
4396.T0.1-V08-J-mjp-1.2.H,18:52:00,18:52:00,20346,2,1
4396.T0.1-V08-J-mjp-1.2.H,19:06:00,19:08:00,20341,3,1
4396.T0.1-V08-J-mjp-1.2.H,19:27:00,19:27:00,20339,4,1
4396.T0.1-V08-J-mjp-1.2.H,19:43:00,19:45:00,20351,5,1
4396.T0.1-V08-J-mjp-1.2.H,19:54:00,19:54:00,20330,6,1
4396.T0.1-V08-J-mjp-1.2.H,20:04:00,20:04:00,20328,7,1
4396.T0.1-V08-J-mjp-1.2.H,20:22:00,20:22:00,20357,10,1
4396.T0.1-V08-J-mjp-1.2.H,20:29:00,20:29:00,20308,11,1
4396.T0.1-V08-J-mjp-1.2.H,20:40:00,20:40:00,20313,14,1
